"Marca temporal","Modalidad","Trabajo","Ciudad de trabajo (Ej.: Asunción)","Salario mensual","Puesto de trabajo (Ej.: Programador, Jefe de Proyecto, etc)"
"2018/09/08 9:10:12 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/08 9:10:56 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Jefe desarrollador"
"2018/09/08 9:11:41 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador web"
"2018/09/08 9:12:08 a.m. GMT-4","Remoto","Internacional","Asunción","Entre 9.000.000 a 12.000.000 gs","Desarrollador"
"2018/09/08 9:12:18 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/08 9:12:22 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/08 9:12:44 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Más de 18.000.000 gs","Consultor y programador"
"2018/09/08 9:12:51 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/08 9:13:44 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 2.112.562 gs a 3.500.000 gs","Analista Desarrollador"
"2018/09/08 9:15:28 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 9:16:05 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/08 9:16:28 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Más de 18.000.000 gs","Programador + Jefe de Proyecto"
"2018/09/08 9:18:27 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/08 9:19:02 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Programador"
"2018/09/08 9:19:06 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 9.000.000 a 12.000.000 gs","Jefe de Proyecto"
"2018/09/08 9:19:16 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 9:20:58 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/08 9:21:08 a.m. GMT-4","Presencial","Nacional (Paraguay)","ASUNCION","Entre 3.500.000 a 5.000.000 gs","PROGRAMADOR"
"2018/09/08 9:23:03 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la mora ","Entre 9.000.000 a 12.000.000 gs","Jefe de desarrollo"
"2018/09/08 9:27:24 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 12.000.000 a 15.000.000 gs","Jefe de proyecto"
"2018/09/08 9:29:16 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la mora","Entre 7.000.000 a 9.000.000 gs","desarrollador"
"2018/09/08 9:33:59 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 9:36:55 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Analista Desarrollador "
"2018/09/08 9:40:53 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 12.000.000 a 15.000.000 gs","Analista/Programador"
"2018/09/08 9:41:21 a.m. GMT-4","Presencial","Nacional (Paraguay)","Ciudad del Este","Entre 2.112.562 gs a 3.500.000 gs","Programador Jr"
"2018/09/08 9:47:22 a.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 5.000.000 a 7.000.000 gs","Arquitecto de software"
"2018/09/08 9:48:49 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Analista/Programador"
"2018/09/08 9:50:34 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Soporte de Middleware"
"2018/09/08 9:50:57 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Soporte de Middleware"
"2018/09/08 9:52:52 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Analista de sistema y programador"
"2018/09/08 9:53:21 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/08 9:56:46 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Programador senior"
"2018/09/08 10:00:04 a.m. GMT-4","Remoto","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Freelance"
"2018/09/08 10:01:33 a.m. GMT-4","Remoto","Internacional","San Lorenzo","Entre 15.000.000 a 18.000.000 gs","Programador Mobile"
"2018/09/08 10:02:35 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Encargado de desarrollo"
"2018/09/08 10:06:14 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Desarrollo "
"2018/09/08 10:10:12 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Desarrollo"
"2018/09/08 10:11:21 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/08 10:15:24 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador Junior"
"2018/09/08 10:16:56 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Desarrollador Medio"
"2018/09/08 10:17:57 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 9.000.000 a 12.000.000 gs","Desarrollador Senior"
"2018/09/08 10:18:27 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 2.112.562 gs a 3.500.000 gs","Front end Developer "
"2018/09/08 10:20:23 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 12.000.000 a 15.000.000 gs","Arquitecto"
"2018/09/08 10:21:07 a.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador Junior"
"2018/09/08 10:22:20 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/08 10:24:52 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Desarrollador"
"2018/09/08 10:28:41 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Desarrollador/Analista"
"2018/09/08 10:34:39 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Gerente de Tecnología"
"2018/09/08 10:36:55 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador Senior"
"2018/09/08 10:39:12 a.m. GMT-4","Remoto","Nacional (Paraguay)","Fernando de la Mora","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/08 10:54:51 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador "
"2018/09/08 10:56:34 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Jefe de proyectos"
"2018/09/08 11:07:41 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 11:13:44 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion ","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 11:17:02 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/08 11:23:33 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 9.000.000 a 12.000.000 gs","Analista de proyectos "
"2018/09/08 11:26:15 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 11:35:37 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Jefe de Proyectos"
"2018/09/08 11:38:01 a.m. GMT-4","Presencial","Nacional (Paraguay)","Capiata","Entre 7.000.000 a 9.000.000 gs","Programador Analista"
"2018/09/08 12:17:48 p.m. GMT-4","Hibrído","Internacional","Asunción","Entre 9.000.000 a 12.000.000 gs","Desarrollador mobile"
"2018/09/08 12:20:15 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Analista desarrolador"
"2018/09/08 12:32:19 p.m. GMT-4","Presencial","Nacional (Paraguay)","San Ignacio","Entre 2.112.562 gs a 3.500.000 gs","Programador, jeve, etc etc"
"2018/09/08 12:33:28 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/08 12:34:02 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","DevOps"
"2018/09/08 12:42:18 p.m. GMT-4","Remoto","Nacional (Paraguay)","Fernando de la Mora","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/08 12:47:46 p.m. GMT-4","Remoto","Internacional","San Lorenzo","Más de 18.000.000 gs","Fullstack developer"
"2018/09/08 12:47:50 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 9.000.000 a 12.000.000 gs","Analista de sistemas web"
"2018/09/08 12:50:35 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Salario mínimo 2.112.562 gs","Programador full stack"
"2018/09/08 12:52:11 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Analista/Programador"
"2018/09/08 1:09:59 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Desarrollador"
"2018/09/08 1:14:33 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 1:16:56 p.m. GMT-4","Remoto","Nacional (Paraguay)","Asunción","Menos del salario mínimo (2.112.562 gs)","Aux de marketing"
"2018/09/08 1:18:39 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/08 1:25:08 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Programador "
"2018/09/08 1:30:01 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la mora","Entre 5.000.000 a 7.000.000 gs","Programador "
"2018/09/08 1:31:39 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Jefe de Desarrollo"
"2018/09/08 1:34:24 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion ","Entre 9.000.000 a 12.000.000 gs","Programador "
"2018/09/08 1:38:17 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Desarrollo"
"2018/09/08 1:43:28 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/08 2:01:30 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 15.000.000 a 18.000.000 gs","Programador"
"2018/09/08 2:02:25 p.m. GMT-4","Presencial","Nacional (Paraguay)","San Lorenzo","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/08 2:04:37 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/08 2:05:18 p.m. GMT-4","Remoto","Internacional","Asuncion","Entre 5.000.000 a 7.000.000 gs","Jefe de Proyectos"
"2018/09/08 2:10:57 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Entre 9.000.000 a 12.000.000 gs","Analista de sistemas "
"2018/09/08 2:15:54 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Desarrollador de software"
"2018/09/08 2:22:46 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 2:24:04 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 12.000.000 a 15.000.000 gs","Programador "
"2018/09/08 2:29:49 p.m. GMT-4","Remoto","Nacional (Paraguay)","San Antonio","Entre 9.000.000 a 12.000.000 gs","Programador Senior"
"2018/09/08 2:30:02 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 2:31:52 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 2:32:55 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Jefe"
"2018/09/08 2:39:00 p.m. GMT-4","Ninguna de las anteriores","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 2:51:52 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Desarrollador Intermedio"
"2018/09/08 3:13:55 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Analista Desarrollador"
"2018/09/08 3:23:49 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Analista de Sistemas "
"2018/09/08 3:25:51 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador "
"2018/09/08 3:30:04 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 5.000.000 a 7.000.000 gs","Jefe de equipo"
"2018/09/08 3:36:04 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/08 3:44:46 p.m. GMT-4","Presencial","Nacional (Paraguay)","San Lorenzo","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/08 4:03:17 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/08 4:20:39 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/08 4:35:46 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Consultor"
"2018/09/08 4:38:53 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/08 5:06:47 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Más de 18.000.000 gs","Jefe"
"2018/09/08 5:12:52 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Gerente de Tecnología"
"2018/09/08 5:27:05 p.m. GMT-4","Remoto","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador web"
"2018/09/08 5:29:28 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Programador web"
"2018/09/08 5:29:30 p.m. GMT-4","Presencial","Nacional (Paraguay)","asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/08 5:31:40 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Jefe de Proyectos "
"2018/09/08 5:32:32 p.m. GMT-4","Presencial","Nacional (Paraguay)","ninguna respuesta","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/08 5:32:39 p.m. GMT-4","Remoto","Internacional","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 5:36:09 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/08 5:39:42 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Analsita Programador"
"2018/09/08 5:40:18 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Analista/Desarrollador"
"2018/09/08 5:46:40 p.m. GMT-4","Presencial","Nacional (Paraguay)","San Lorenzo","Entre 15.000.000 a 18.000.000 gs","Desarrollador senior "
"2018/09/08 5:46:54 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 6:17:54 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Analista Desarrollador Genexus"
"2018/09/08 6:53:43 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Progranador"
"2018/09/08 7:01:42 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Jefe de Desarrollo"
"2018/09/08 7:05:42 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Jefe de Desarrollo"
"2018/09/08 7:06:51 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 12.000.000 a 15.000.000 gs","Desarrollo BI"
"2018/09/08 7:10:48 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Jefe de Proyectos"
"2018/09/08 7:17:55 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 7:24:25 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Jefe de proyectos "
"2018/09/08 7:59:10 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Analista programador"
"2018/09/08 8:10:58 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Desarrollador "
"2018/09/08 8:12:41 p.m. GMT-4","Presencial","Nacional (Paraguay)","Coronel Oviedo","Entre 2.112.562 gs a 3.500.000 gs","informático"
"2018/09/08 8:16:00 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 8:27:09 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Central","Entre 15.000.000 a 18.000.000 gs","Programador"
"2018/09/08 8:39:35 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion ","Entre 9.000.000 a 12.000.000 gs","Programador "
"2018/09/08 9:14:51 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/08 9:28:03 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Jefe de proyectos."
"2018/09/08 9:37:59 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 10:00:20 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora ","Entre 5.000.000 a 7.000.000 gs","Sysadmin"
"2018/09/08 10:04:44 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando de la Mora","Salario mínimo 2.112.562 gs","Programador web"
"2018/09/08 10:15:52 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/08 10:18:17 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/08 10:23:07 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/08 10:32:35 p.m. GMT-4","Presencial","Nacional (Paraguay)","Fernando","Entre 3.500.000 a 5.000.000 gs","Supervisor"
"2018/09/08 11:29:28 p.m. GMT-4","Hibrído","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/09 12:13:54 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/09 12:26:07 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion ","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/09 1:22:43 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 7.000.000 a 9.000.000 gs","Desarrollador mobile"
"2018/09/09 2:32:23 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/09 4:58:55 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador Junior"
"2018/09/09 6:05:30 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 9.000.000 a 12.000.000 gs","Jefe de proyecto"
"2018/09/09 7:37:51 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Programador y Analista"
"2018/09/09 8:01:57 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/09 8:50:16 a.m. GMT-4","Remoto","Nacional (Paraguay)","Limpio ","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/09 9:02:05 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 12.000.000 a 15.000.000 gs","Jefe de Proyecto"
"2018/09/09 9:14:30 a.m. GMT-4","Remoto","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/09 10:37:19 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 9.000.000 a 12.000.000 gs","Programador"
"2018/09/09 11:11:05 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 2.112.562 gs a 3.500.000 gs","Web Developer & Research"
"2018/09/09 11:29:22 a.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/09 12:04:20 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/09 12:37:35 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 3.500.000 a 5.000.000 gs","Programador"
"2018/09/09 12:42:05 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Jefe de Proyecto"
"2018/09/09 12:42:51 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Analista funcional"
"2018/09/09 3:13:26 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción ","Más de 18.000.000 gs","Jefe de desarrollo "
"2018/09/09 3:23:32 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Analista Desarrollador"
"2018/09/09 4:25:28 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 2.112.562 gs a 3.500.000 gs","Desarrollador"
"2018/09/09 4:28:28 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Jefe de Proyecto"
"2018/09/09 4:45:32 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 3.500.000 a 5.000.000 gs","Análisis Base de Datos"
"2018/09/09 4:51:22 p.m. GMT-4","Remoto","Internacional","Lambaré","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/09 4:52:40 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asuncion","Entre 7.000.000 a 9.000.000 gs","Desarrollador"
"2018/09/09 4:53:18 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 7.000.000 a 9.000.000 gs","Programador"
"2018/09/09 5:01:45 p.m. GMT-4","Presencial","Nacional (Paraguay)","Asunción","Entre 5.000.000 a 7.000.000 gs","Programador"
"2018/09/09 5:04:35 p.m. GMT-4","Remoto","Internacional","Canada","Entre 9.000.000 a 12.000.000 gs","Programador"
"2018/09/09 5:13:03 p.m. GMT-4","Presencial","Nacional (Paraguay)","Encarnacion","Entre 2.112.562 gs a 3.500.000 gs","Programador"
"2018/09/09 5:14:21 p.m. GMT-4","Hibrído","Internacional","Asunción","Entre 15.000.000 a 18.000.000 gs","Jefe de Proyecto"
"2018/09/09 5:44:40 p.m. GMT-4","Remoto","Internacional","San Lorenzo","Entre 15.000.000 a 18.000.000 gs","Fullstack Developer"
"2018/09/09 5:51:20 p.m. GMT-4","Presencial","Nacional (Paraguay)","Lambaré","Entre 5.000.000 a 7.000.000 gs","Desarrollador"
